Researcher,Title,Institution,Year,Length,Per_annum_budget,Field,Keywords
????? ?????,??? ??????? ????????? ?????????? ?? ????? ????? ?????,Technion,2019,5,280000,Neurobiology,"oxytocin, attention, methylphenidate, social cooperation"
???? ?????,????? ????? ????? ??? ??????,Hebrew University,2020,5,270000,Neurobiology,"spontaneous activity, evoked activity, zebrafish, circuit, neural assemblies, neural coding"
??? ????-???????,???? ?????? ?? ?????? ?????????' ???????? ?????? ?????,Hebrew University,2019,4,280000,Plant Science,"seeds, autophagy, plant metabolism"
??? ????-???????,????? ?????? ????????'? ?????? ???? ????? ????? ????????? ????,Hebrew University,2016,3,217000,Plant Science," autophagy, metabolism, Arabidopsis, autophagy, Plant sciences"
??? ????????,?????? ????-????? ????? ?? ?????????? ?? ????? ?????? ?????? ??????? ????????????? ?? ???????????,Hebrew University,2017,5,350000,Cell Biology,"mitophagy,  autophagy, proteostasis, autophagy, mitochondrial quality control"
??? ????????,???? ??????? ?????? ?????????????? ?? ???????????,Hebrew University,2012,4,252000,Cell Biology,"mitophagy,  autophagy, autophagy, protein phosphorylation, membrane trafficking, protein sorting, mitochondrial dynamics, protein oxidation"
??? ????????,?????? ????? ?? ???????? ????? Apg1 ??????? ????? ??????? ?- Tor ??????? ?????????? ?? ?????????????,Hebrew University,2003,4,290000,Cell Biology, 
??? ????????,????? ?? ????? ?????? ??? ???? ??????? ??????? ????? ?????? ??????????? ?? ???????????,Hebrew University,2007,4,258000,Cell Biology,"mitophagy,  autophagy,  mitochondria, mitochondria, yeast, yeast, autophagy, protein phosphorylation"
????? ????,????????? ?? ????????????? ?? ?????? ???????? ?? ????? ?????????? ???? T ???????,Technion,2008,4,203000,Immunology,"transcriptional regulation, t helper cell, polycomb group proteins, GATA3"
????? ????,????? ?????? ?????? ???????? ??????? ????? ??????? ?????? ???? ????? ?????????? ??????????? ???????,Technion,2004,4,220000,Immunology,"transcriptional regulation, T helper cells, IL-4 gene, GATA3 (GATA-3), Polycomb group proteins 
(PcG proteins)"
????? ????,??????? ?????? ?????? ???????? ???? T ???????,Bar Ilan University,2012,4,260000,Immunology,"Cytokines, cytokines, cytokines, cytokines, transcriptional regulation, cd4 t cells, T helper cells, Th cells, Il4 gene, Ifng gene, epigenetic regulation, polycomb"
????? ????,???? ?? ?????? ????? ??????,Bar Ilan University,2020,3,250000,Immunology,"epigenetic regulation, t helper cell differentiation"
???? ????,"????? ?-siRNA ?????? ???? ???????????? ?????????:????? ????? ???? ???? ?????????? ?? ?????? ???????? ?? 
         ?????????? ???? ???????? ?????",Shiba Medical Centre,2007,3,163000,Medicine - Genetics & Oncology,siRNA. apoptosis. psoriasis. keratinocyes. microRNA.
??? ????,????? ?????????? ?????? ?????? ???? ????,Tel Aviv University,2007,4,249000,Plant Science,"EHD proteins, plant defense, Plant endocytosis, Signal transuction, Ethylene biosynthesis"
??? ????,??????? ????? ???? ?????? ????? ???? ?????,Tel Aviv University,2003,4,163000,Botany, 
??? ????,?????? ??? ????? ??????? ????? EIX ?? ????? ????? ??????,Tel Aviv University,2012,4,260000,Plant Science,"endocytosis, Plant Defense responses, Endosomal signaling, yeast two hybrid"
